"title","date","link","nrec"
"[新聞] 獨家》立院財委會下周考察兆豐金 關切","7/25","https://www.ptt.cc/bbs/Stock/M.1753439738.A.EA2.html","14"
"[新聞] 英特爾拋震撼彈！警告恐放棄14A先進製程","7/25","https://www.ptt.cc/bbs/Stock/M.1753443716.A.AA6.html","爆"
"Re: [新聞] 台美關稅談判進入倒數！中經院估關稅落點","7/25","https://www.ptt.cc/bbs/Stock/M.1753444245.A.099.html","3"
"[公告] kunshop0316以4-0水桶十年處分並退文","7/25","https://www.ptt.cc/bbs/Stock/M.1753444330.A.7B8.html","18"
"Re: [新聞] 債蛙6月歸隊？債券ETF規模回升千億元","7/25","https://www.ptt.cc/bbs/Stock/M.1753444444.A.96D.html","9"
"[請益] 請問哪家證券的K線圖軟體最好用","7/25","https://www.ptt.cc/bbs/Stock/M.1753446680.A.453.html","20"
"[新聞] 從美日關稅協議看台灣 中經院：有信心談","7/25","https://www.ptt.cc/bbs/Stock/M.1753447264.A.348.html","8"
"[新聞] 郭智輝曝廠商最擔心匯率與電價　下周推「","7/25","https://www.ptt.cc/bbs/Stock/M.1753447454.A.6E8.html","65"
"Re: [新聞] 英特爾拋震撼彈！警告恐放棄14A先進製程","7/25","https://www.ptt.cc/bbs/Stock/M.1753447758.A.684.html","56"
"[標的] 1909榮成噴出訊號多 傳產開車","7/25","https://www.ptt.cc/bbs/Stock/M.1753411101.A.908.html",""
"[新聞] 雷虎科技：軍方無人機訂單 數量超乎預期","7/25","https://www.ptt.cc/bbs/Stock/M.1753411354.A.8C6.html","45"
"Re: [標的] 2609陽明 傳產準備翻轉多","7/25","https://www.ptt.cc/bbs/Stock/M.1753411562.A.87A.html","X2"
"Re: [新聞] 快訊／川普宣布「澳洲開放進口美國牛」","7/25","https://www.ptt.cc/bbs/Stock/M.1753412867.A.373.html","39"
"[新聞] 日媒：台積電熊本二廠投產延至2029年上半年","7/25","https://www.ptt.cc/bbs/Stock/M.1753413398.A.51B.html","46"
"Re: [新聞] 川普表示希望MUSK及其他美國公司蓬勃發展","7/25","https://www.ptt.cc/bbs/Stock/M.1753414703.A.F5C.html","2"
"Re: [標的] 8046南電","7/25","https://www.ptt.cc/bbs/Stock/M.1753415604.A.9DA.html","12"
"[標的] 00675L 富邦正二 小賭貽情多","7/25","https://www.ptt.cc/bbs/Stock/M.1753415916.A.557.html","51"
"Re: [新聞] 貝森特：日本敲定低關稅協議的秘訣是「這","7/25","https://www.ptt.cc/bbs/Stock/M.1753416073.A.115.html","34"
"Re: [新聞] 貝森特：日本敲定低關稅協議的秘訣是「這","7/25","https://www.ptt.cc/bbs/Stock/M.1753417694.A.E28.html","1"
"[標的] 5512.TWO 力麒","7/25","https://www.ptt.cc/bbs/Stock/M.1753417793.A.A9F.html","8"
"Re: [新聞] 貝森特：日本敲定低關稅協議的秘訣是「這","7/25","https://www.ptt.cc/bbs/Stock/M.1753418280.A.FF2.html","9"
"[標的] GIBO US meme股討論","7/25","https://www.ptt.cc/bbs/Stock/M.1753418450.A.0D8.html","17"
"[新聞] 鄭麗君率隊赴美展開第4輪談判　經長郭智","7/25","https://www.ptt.cc/bbs/Stock/M.1753419571.A.2A9.html","98"
"[閒聊] 2025/07/25 盤後閒聊","7/25","https://www.ptt.cc/bbs/Stock/M.1753423259.A.838.html","40"
"Re: [新聞] 鄭麗君率隊赴美展開第4輪談判　經長郭智","7/25","https://www.ptt.cc/bbs/Stock/M.1753424366.A.D3B.html","39"
"[新聞] 台美關稅談判進入倒數！中經院估關稅落點","7/25","https://www.ptt.cc/bbs/Stock/M.1753426068.A.17F.html","80"
"[情報] 0725 上市投信買賣超排行","7/25","https://www.ptt.cc/bbs/Stock/M.1753426501.A.BA0.html","10"
"[情報] 114年07月25日 三大法人買賣金額統計表","7/25","https://www.ptt.cc/bbs/Stock/M.1753426980.A.190.html","78"
"[情報] 2002 中鋼6月自結 稅前淨損15.8億","7/25","https://www.ptt.cc/bbs/Stock/M.1753429352.A.A9F.html","46"
